                                  Package    Version
sass                                 sass      0.4.9
scales                             scales      1.3.0
scattermore                   scattermore        1.2
sctransform                   sctransform      0.4.1
sessioninfo                   sessioninfo      1.2.2
Seurat                             Seurat      5.1.0
SeuratObject                 SeuratObject      5.0.2
shiny                               shiny    1.8.1.1
SingleCellExperiment SingleCellExperiment     1.16.0
sitmo                               sitmo      2.0.2
sourcetools                   sourcetools    0.1.7-1
sp                                     sp      2.1-4
spacexr                           spacexr      2.2.1
spam                                 spam     2.10-0
spatstat.core               spatstat.core      2.4-0
spatstat.data               spatstat.data      3.1-2
spatstat.explore         spatstat.explore      3.2-7
spatstat.geom               spatstat.geom      3.2-9
spatstat.random           spatstat.random      3.2-3
spatstat.sparse           spatstat.sparse      3.1-0
spatstat.utils             spatstat.utils      3.0-5
stringi                           stringi      1.8.4
stringr                           stringr      1.5.1
SummarizedExperiment SummarizedExperiment     1.24.0
sys                                   sys      3.4.2
systemfonts                   systemfonts      1.1.0
tensor                             tensor        1.5
testthat                         testthat    3.2.1.1
textshaping                   textshaping      0.4.0
tibble                             tibble      3.2.1
tidyr                               tidyr      1.3.1
tidyselect                     tidyselect      1.2.1
tinytex                           tinytex       0.51
tzdb                                 tzdb      0.2.0
urlchecker                     urlchecker      1.0.1
usethis                           usethis      2.2.3
utf8                                 utf8      1.2.4
uuid                                 uuid      1.2-0
uwot                                 uwot      0.2.2
vctrs                               vctrs      0.6.5
viridis                           viridis      0.6.2
viridisLite                   viridisLite      0.4.2
vroom                               vroom      1.5.7
waldo                               waldo      0.5.2
whisker                           whisker      0.4.1
withr                               withr      3.0.0
xfun                                 xfun       0.45
xml2                                 xml2      1.3.6
xopen                               xopen      1.0.1
xtable                             xtable      1.8-4
XVector                           XVector     0.34.0
yaml                                 yaml      2.3.9
zip                                   zip      2.3.1
zlibbioc                         zlibbioc     1.40.0
zoo                                   zoo     1.8-12
base                                 base      4.1.2
boot                                 boot     1.3-28
class                               class     7.3-19
cluster                           cluster      2.1.2
codetools                       codetools     0.2-18
compiler                         compiler      4.1.2
datasets                         datasets      4.1.2
foreign                           foreign     0.8-81
graphics                         graphics      4.1.2
grDevices                       grDevices      4.1.2
grid                                 grid      4.1.2
KernSmooth                     KernSmooth    2.23-20
lattice                           lattice    0.20-45
MASS                                 MASS     7.3-54
Matrix.1                           Matrix      1.3-4
methods                           methods      4.1.2
mgcv                                 mgcv     1.8-38
nlme                                 nlme    3.1-153
nnet                                 nnet     7.3-16
parallel                         parallel      4.1.2
rpart                               rpart     4.1-15
spatial                           spatial     7.3-14
splines                           splines      4.1.2
stats                               stats      4.1.2
stats4                             stats4      4.1.2
survival                         survival     3.2-13
tcltk                               tcltk      4.1.2
tools                               tools      4.1.2
utils                               utils      4.1.2
